Series ID,Year,Period,Label,Value
CUSR0000SA0,1975,M08,1975 Aug,54.2
CUSR0000SA0,1975,M09,1975 Sep,54.6
CUSR0000SA0,1975,M10,1975 Oct,54.9
CUSR0000SA0,1975,M11,1975 Nov,55.3
CUSR0000SA0,1975,M12,1975 Dec,55.6
CUSR0000SA0,1976,M01,1976 Jan,55.8
CUSR0000SA0,1976,M02,1976 Feb,55.9
CUSR0000SA0,1976,M03,1976 Mar,56
CUSR0000SA0,1976,M04,1976 Apr,56.1
CUSR0000SA0,1976,M05,1976 May,56.4
CUSR0000SA0,1976,M06,1976 Jun,56.7
CUSR0000SA0,1976,M07,1976 Jul,57
CUSR0000SA0,1976,M08,1976 Aug,57.3
CUSR0000SA0,1976,M09,1976 Sep,57.6
CUSR0000SA0,1976,M10,1976 Oct,57.9
CUSR0000SA0,1976,M11,1976 Nov,58.1
CUSR0000SA0,1976,M12,1976 Dec,58.4
CUSR0000SA0,1977,M01,1977 Jan,58.7
CUSR0000SA0,1977,M02,1977 Feb,59.3
CUSR0000SA0,1977,M03,1977 Mar,59.6
CUSR0000SA0,1977,M04,1977 Apr,60
CUSR0000SA0,1977,M05,1977 May,60.2
CUSR0000SA0,1977,M06,1977 Jun,60.5
CUSR0000SA0,1977,M07,1977 Jul,60.8
CUSR0000SA0,1977,M08,1977 Aug,61.1
CUSR0000SA0,1977,M09,1977 Sep,61.3
CUSR0000SA0,1977,M10,1977 Oct,61.6
CUSR0000SA0,1977,M11,1977 Nov,62
CUSR0000SA0,1977,M12,1977 Dec,62.3
CUSR0000SA0,1978,M01,1978 Jan,62.7
CUSR0000SA0,1978,M02,1978 Feb,63
CUSR0000SA0,1978,M03,1978 Mar,63.4
CUSR0000SA0,1978,M04,1978 Apr,63.9
CUSR0000SA0,1978,M05,1978 May,64.5
CUSR0000SA0,1978,M06,1978 Jun,65
CUSR0000SA0,1978,M07,1978 Jul,65.5
CUSR0000SA0,1978,M08,1978 Aug,65.9
CUSR0000SA0,1978,M09,1978 Sep,66.5
CUSR0000SA0,1978,M10,1978 Oct,67.1
CUSR0000SA0,1978,M11,1978 Nov,67.5
CUSR0000SA0,1978,M12,1978 Dec,67.9
CUSR0000SA0,1979,M01,1979 Jan,68.5
CUSR0000SA0,1979,M02,1979 Feb,69.2
CUSR0000SA0,1979,M03,1979 Mar,69.9
CUSR0000SA0,1979,M04,1979 Apr,70.6
